Trial 1,Trial 2,Trial 3,Average
11,7,26,14.666666666666666
10,10,35,18.333333333333332
11,9,28,16
8,8,30,15.333333333333334
11,6,31,16
12,12,31,18.333333333333332
9,11,26,15.333333333333334
14,7,29,16.666666666666668
11,9,33,17.666666666666668
12,8,27,15.666666666666666
10,13,33,18.666666666666668
13,10,33,18.666666666666668
17,10,30,19
12,14,30,18.666666666666668
12,7,32,17
9,8,31,16
12,8,35,18.333333333333332
14,16,30,20
17,14,30,20.333333333333332
14,9,29,17.333333333333332
16,13,31,20
15,15,27,19
19,13,29,20.333333333333332
12,10,33,18.333333333333332
14,12,32,19.333333333333332
10,15,29,18
10,15,29,18
12,5,27,14.666666666666666
13,9,30,17.333333333333332
18,14,36,22.666666666666668
16,16,31,21
9,6,30,15
16,12,32,20
7,14,32,17.666666666666668
14,10,31,18.333333333333332
9,10,28,15.666666666666666
13,11,35,19.666666666666668
15,8,30,17.666666666666668
14,12,35,20.333333333333332
14,10,37,20.333333333333332
18,9,32,19.666666666666668
14,14,30,19.333333333333332
16,14,28,19.333333333333332
12,8,33,17.666666666666668
12,5,26,14.333333333333334
14,14,29,19
18,13,37,22.666666666666668
16,12,33,20.333333333333332
13,11,31,18.333333333333332
11,9,34,18
14,7,31,17.333333333333332
18,8,32,19.333333333333332
15,14,28,19
19,15,31,21.666666666666668
18,13,31,20.666666666666668
15,13,24,17.333333333333332
15,8,31,18
21,9,25,18.333333333333332
16,8,23,15.666666666666666
16,7,25,16
16,11,31,19.333333333333332
15,11,28,18
16,10,28,18
8,14,32,18
12,6,24,14
10,11,29,16.666666666666668
13,13,30,18.666666666666668
15,10,25,16.666666666666668
14,8,32,18
13,5,36,18
19,14,36,23
12,12,41,21.666666666666668
8,10,30,16
5,8,37,16.666666666666668
11,9,31,17
13,8,33,18
8,6,29,14.333333333333334
10,7,33,16.666666666666668
12,14,24,16.666666666666668
7,10,24,13.666666666666666
3,6,31,13.333333333333334
10,6,25,13.666666666666666
6,7,23,12
9,5,25,13
11,8,28,15.666666666666666
13,12,24,16.333333333333332
11,13,26,16.666666666666668
12,14,27,17.666666666666668
13,11,30,18
13,7,26,15.333333333333334
17,14,21,17.333333333333332
12,14,24,16.666666666666668
