Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
5,27,25,25,17,19.8
6,27,26,24,10,18.6
9,30,22,19,12,18.4
12,35,20,18,12,19.4
5,23,31,24,13,19.2
9,40,14,16,16,19
12,46,20,13,7,19.6
3,39,25,18,10,19
12,34,25,12,8,18.2
5,37,24,18,13,19.4
8,34,21,23,4,18
4,29,19,18,12,16.4
12,29,21,18,10,18
7,33,14,15,11,16
5,32,20,18,12,17.4
8,26,21,20,9,16.8
2,27,19,21,4,14.6
5,40,32,20,8,21
4,21,25,19,9,15.6
5,32,19,11,7,14.8
3,23,26,13,7,14.4
2,22,22,20,5,14.2
6,17,18,14,10,13
4,24,28,14,7,15.4
11,22,15,19,8,15
8,32,18,18,8,16.8
7,26,35,19,3,18
7,24,19,17,7,14.8
7,22,29,15,9,16.4
6,28,18,19,5,15.2
8,27,15,12,9,14.2
10,19,32,22,17,20
9,37,22,23,7,19.6
6,27,25,23,9,18
10,31,28,23,4,19.2
8,30,16,19,9,16.4
8,22,19,28,8,17
14,23,16,31,17,20.2
9,40,16,25,6,19.2
15,20,19,30,8,18.4
11,41,29,26,13,24
14,16,19,30,11,18
17,23,26,25,5,19.2
11,30,22,28,11,20.4
17,25,30,43,9,24.8
9,37,22,29,17,22.8
13,24,27,25,10,19.8
7,24,27,22,11,18.2
12,33,27,24,5,20.2
11,23,23,27,5,17.8
15,32,22,27,7,20.6
10,26,30,18,8,18.4
13,23,32,29,11,21.6
9,27,36,24,9,21
7,23,21,20,6,15.4
12,29,25,26,15,21.4
13,21,26,18,3,16.2
12,21,25,23,11,18.4
19,22,43,26,7,23.4
12,20,23,24,4,16.6
15,36,29,21,9,22
15,19,29,27,5,19
17,28,22,29,8,20.8
19,24,26,28,12,21.8
16,13,21,33,6,17.8
23,17,32,31,7,22
21,21,28,33,6,21.8
25,22,16,26,9,19.6
