Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
19,29,25,10,17,20
21,27,24,11,17,20
20,21,24,11,15,18.2
23,21,25,7,16,18.4
17,24,22,13,18,18.8
19,20,31,16,14,20
22,21,29,16,13,20.2
29,22,22,11,21,21
24,26,26,16,21,22.6
27,19,27,16,18,21.4
24,26,27,14,18,21.8
23,23,29,11,22,21.6
19,22,25,17,12,19
20,19,26,16,20,20.2
25,20,21,11,15,18.4
24,26,33,17,13,22.6
22,25,29,14,21,22.2
24,25,28,13,23,22.6
26,26,24,15,17,21.6
27,23,27,23,22,24.4
21,27,22,13,15,19.6
22,27,27,18,17,22.2
23,26,26,16,17,21.6
23,27,24,17,12,20.6
19,23,24,12,17,19
18,26,26,7,20,19.4
17,24,21,19,17,19.6
25,21,28,13,23,22
22,20,23,17,17,19.8
21,24,24,14,20,20.6
18,27,25,15,20,21
16,25,26,15,14,19.2
20,26,25,15,18,20.8
23,21,24,19,18,21
17,23,21,18,21,20
20,24,23,20,24,22.2
22,23,32,22,22,24.2
22,20,22,21,15,20
22,21,27,22,25,23.4
24,28,24,19,17,22.4
22,25,22,23,18,22
21,25,26,24,21,23.4
24,22,24,21,22,22.6
23,26,26,24,21,24
18,20,27,21,19,21
23,19,23,27,15,21.4
23,22,23,24,19,22.2
27,27,23,28,18,24.6
19,27,24,27,26,24.6
22,23,25,23,19,22.4
18,23,21,19,23,20.8
23,26,24,27,21,24.2
21,23,21,22,19,21.2
20,20,19,19,17,19
23,25,29,23,22,24.4
20,22,27,21,20,22
23,21,22,25,24,23
17,31,23,23,21,23
20,22,23,23,21,21.8
21,30,31,21,24,25.4
20,22,27,20,17,21.2
22,27,21,20,16,21.2
16,25,29,23,15,21.6
21,25,24,29,15,22.8
25,23,23,27,22,24
18,20,27,26,27,23.6
18,26,28,28,16,23.2
15,24,25,27,19,22
