Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
1749,512,340,907,1014,904.4
1044,288,68,376,989,553
408,1203,466,1545,826,889.6
2683,1075,922,0,749,1085.8
2189,395,1676,357,1145,1152.4
1239,1818,1449,256,1134,1179.2
204,1450,0,1975,1022,930.2
643,750,459,1219,2063,1026.8
1496,374,577,759,395,720.2
950,0,0,1568,853,674.2
2086,0,648,2033,0,953.4
533,1017,217,208,657,526.4
1756,0,127,291,1180,670.8
1339,0,503,282,142,453.2
449,262,2326,982,0,803.8
725,746,1497,0,723,738.2
552,350,1354,838,620,742.8
4072,520,437,1920,351,1460
610,0,258,1519,850,647.4
0,0,178,1427,313,383.6
435,459,924,1183,992,798.6
278,608,675,1219,450,646
1036,402,822,998,0,651.6
593,160,615,1863,645,775.2
380,656,1763,637,467,780.6
653,0,2543,544,348,817.6
414,1669,619,490,0,638.4
0,232,188,242,793,291
1699,0,1411,0,2486,1119.2
1495,457,402,730,2358,1088.4
602,1201,845,936,2688,1254.4
418,0,1247,0,1390,611
0,1653,745,2208,1016,1124.4
422,751,96,404,1725,679.6
992,481,0,1386,226,617
3229,997,515,1164,2851,1751.2
1663,0,388,168,926,629
975,0,0,551,1505,606.2
3225,2700,661,721,632,1587.8
1338,1713,328,252,491,824.4
1756,341,360,1606,0,812.6
553,293,0,283,2231,672
467,938,747,411,394,591.4
918,1680,114,0,1228,788
274,1095,1105,1124,1044,928.4
411,900,1028,2153,66,911.6
657,0,1005,638,545,569
1206,489,476,472,2267,982
1017,0,323,943,2872,1031
965,629,371,823,2356,1028.8
653,674,799,956,3325,1281.4
600,0,0,988,3441,1005.8
1120,0,0,382,2213,743
1952,0,777,162,862,750.6
2534,599,0,3000,364,1299.4
655,0,0,1534,280,493.8
5905,0,0,1971,1102,1795.6
1731,705,0,0,1689,825
2779,905,575,1332,734,1265
827,837,188,1961,592,881
1981,285,266,0,0,506.4
0,0,0,341,841,236.4
2115,1099,1493,0,2275,1396.4
2592,633,861,1098,635,1163.8
1401,176,813,545,110,609
1585,0,1099,152,363,639.8
395,330,1497,1439,677,867.6
3308,0,407,307,1388,1082
2000,847,742,499,954,1008.4
2273,247,666,708,846,948
1296,777,1144,252,661,826
1790,0,388,3,675,571.2
2494,409,1317,0,0,844
765,0,1720,0,1448,786.6
935,1438,461,558,42,686.8
950,0,599,0,1232,556.2
745,667,722,0,1346,696
905,0,0,1168,1265,667.6
2029,421,660,1257,2127,1298.8
1044,0,1417,0,709,634
1752,234,1080,0,673,747.8
2630,294,673,1493,2355,1489
2043,518,30,619,1082,858.4
1372,701,0,676,1384,826.6
1497,540,0,1072,1082,838.2
1260,0,200,269,1939,733.6
165,19,1410,553,696,568.6
911,348,0,677,705,528.2
1927,0,0,1108,1448,896.6
2501,0,1,731,335,713.6
1263,0,2121,842,1010,1047.2
744,1033,351,3527,822,1295.4
1331,0,418,2753,1269,1154.2
328,0,1198,821,540,577.4
938,597,509,393,654,618.2
2096,0,0,2160,0,851.2
1227,0,1775,0,1570,914.4
329,0,2228,1160,3156,1374.6
1157,0,176,1101,1684,823.6
1121,813,435,1022,260,730.2
1780,488,207,282,1711,893.6
1708,0,518,968,529,744.6
2704,452,0,3351,2637,1828.8
419,0,3,1043,2620,817
