Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
,,,,,,,,,,16,10,8,1,20,9,13,9,11,17,5.7
,,,,,,,,,,17,11,8,2,19,5,18,11,11,11,5.65
,,,,,,,,,,23,10,6,6,21,10,16,13,6,12,6.15
,,,,,,,,,,25,9,9,5,19,5,15,14,7,18,6.3
,,,,,,,,,,22,4,9,8,22,7,17,8,9,17,6.15
,,,,,,,,,,15,10,6,6,20,4,18,10,11,24,6.2
,,,,,,,,,,25,9,10,5,26,4,16,9,5,17,6.3
,,,,,,,,,,24,9,11,5,26,8,19,6,7,22,6.85
,,,,,,,,,,17,12,7,7,27,12,10,12,3,18,6.25
,,,,,,,,,,13,5,11,8,25,6,16,13,9,17,6.15
,,,,,,,,,,13,9,16,7,23,5,19,14,8,14,6.4
,,,,,,,,,,17,6,18,9,26,6,12,9,13,17,6.65
,,,,,,,,,,19,10,16,10,23,8,11,5,11,16,6.45
,,,,,,,,,,15,4,19,11,31,6,16,11,8,16,6.85
,,,,,,,,,,23,7,14,8,27,8,17,10,6,16,6.8
,,,,,,,,,,28,8,13,8,25,5,17,8,14,17,7.15
,,,,,,,,,,24,17,14,9,25,7,16,11,16,15,7.7
,,,,,,,,,,20,15,15,12,27,9,15,4,8,18,7.15
,,,,,,,,,,18,10,8,5,23,8,16,12,8,22,6.5
,,,,,,,,,,18,16,15,6,25,2,19,10,13,21,7.25
,,,,,,,,,,20,11,18,5,25,5,12,10,10,25,7.05
,,,,,,,,,,19,14,15,6,25,5,15,13,10,22,7.2
