Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Average
,,867,822,412,347,175,1464,275,312,487,672,442,849,814,281,513.6875
,,860,727,381,337,629,1087,375,802,528,665,410,714,558,633,544.125
,,884,772,923,371,698,1421,357,374,610,338,557,874,342,567,568
,,1014,900,691,224,524,993,343,510,338,492,341,713,709,476,516.75
,,623,452,644,237,499,669,650,511,351,481,414,669,732,540,467
,,658,458,379,366,373,1018,478,548,576,819,496,614,633,560,498.5
,,894,773,500,466,582,1365,784,940,496,911,609,781,608,721,651.875
,,621,1256,348,366,211,778,339,544,378,583,293,606,592,949,491.5
,,661,663,577,68,573,1209,713,736,307,427,685,461,624,639,521.4375
,,946,645,342,305,504,1087,475,271,737,487,510,586,426,603,495.25
,,755,516,430,353,297,1073,417,980,552,419,745,610,627,705,529.9375
,,853,664,382,373,372,867,738,361,309,642,354,473,623,575,474.125
,,522,655,295,411,607,1027,487,564,193,714,246,526,610,601,466.125
,,595,479,434,547,398,1390,307,340,519,300,427,737,533,303,456.8125
,,,,,432,,,,,,,,,,,27
,,,,,310,,,,,,,,,,,19.375
,,,,,426,,,,,,,,,,,26.625
,,,,,278,,,,,,,,,,,17.375
,,,,,192,,,,,,,,,,,12
,,,,,354,,,,,,,,,,,22.125
,,,,,232,,,,,,,,,,,14.5
,,,,,410,,,,,,,,,,,25.625
,,,,,339,,,,,,,,,,,21.1875
,,,,,467,,,,,,,,,,,29.1875
,,,,,484,,,,,,,,,,,30.25
,,,,,303,,,,,,,,,,,18.9375
,,,,,279,,,,,,,,,,,17.4375
,,,,,653,,,,,,,,,,,40.8125
,,,,,510,,,,,,,,,,,31.875
,,,,,354,,,,,,,,,,,22.125
,,,,,337,,,,,,,,,,,21.0625
,,,,,337,,,,,,,,,,,21.0625
,,,,,339,,,,,,,,,,,21.1875
,,,,,611,,,,,,,,,,,38.1875
,,,,,872,,,,,,,,,,,54.5
,,,,,488,,,,,,,,,,,30.5
,,,,,598,,,,,,,,,,,37.375
,,,,,686,,,,,,,,,,,42.875
,,,,,384,,,,,,,,,,,24
,,,,,723,,,,,,,,,,,45.1875
,,,,,456,,,,,,,,,,,28.5
,,,,,637,,,,,,,,,,,39.8125
,,,,,470,,,,,,,,,,,29.375
,,,,,760,,,,,,,,,,,47.5
,,,,,330,,,,,,,,,,,20.625
,,,,,526,,,,,,,,,,,32.875
,,,,,495,,,,,,,,,,,30.9375
,,,,,487,,,,,,,,,,,30.4375
,,,,,104,,,,,,,,,,,6.5
,,,,,523,,,,,,,,,,,32.6875
,,,,,352,,,,,,,,,,,22
,,,,,434,,,,,,,,,,,27.125
,,,,,278,,,,,,,,,,,17.375
,,,,,476,,,,,,,,,,,29.75
,,,,,424,,,,,,,,,,,26.5
,,,,,524,,,,,,,,,,,32.75
,,,,,490,,,,,,,,,,,30.625
,,,,,465,,,,,,,,,,,29.0625
,,,,,472,,,,,,,,,,,29.5
,,,,,533,,,,,,,,,,,33.3125
,,,,,482,,,,,,,,,,,30.125
,,,,,305,,,,,,,,,,,19.0625
,,,,,319,,,,,,,,,,,19.9375
,,,,,371,,,,,,,,,,,23.1875
,,,,,479,,,,,,,,,,,29.9375
,,,,,646,,,,,,,,,,,40.375
,,,,,781,,,,,,,,,,,48.8125
,,,,,475,,,,,,,,,,,29.6875
,,,,,463,,,,,,,,,,,28.9375
,,,,,435,,,,,,,,,,,27.1875
,,,,,398,,,,,,,,,,,24.875
,,,,,475,,,,,,,,,,,29.6875
,,,,,612,,,,,,,,,,,38.25
,,,,,527,,,,,,,,,,,32.9375
,,,,,495,,,,,,,,,,,30.9375
,,,,,477,,,,,,,,,,,29.8125
,,,,,445,,,,,,,,,,,27.8125
,,,,,668,,,,,,,,,,,41.75
,,,,,780,,,,,,,,,,,48.75
,,,,,627,,,,,,,,,,,39.1875
,,,,,860,,,,,,,,,,,53.75
,,,,,1007,,,,,,,,,,,62.9375
,,,,,1355,,,,,,,,,,,84.6875
,,,,,1379,,,,,,,,,,,86.1875
,,,,,1198,,,,,,,,,,,74.875
,,,,,894,,,,,,,,,,,55.875
,,,,,1240,,,,,,,,,,,77.5
,,,,,1290,,,,,,,,,,,80.625
,,,,,1386,,,,,,,,,,,86.625
,,,,,1466,,,,,,,,,,,91.625
,,,,,1132,,,,,,,,,,,70.75
,,,,,1342,,,,,,,,,,,83.875
,,,,,938,,,,,,,,,,,58.625
,,,,,1372,,,,,,,,,,,85.75
,,,,,1262,,,,,,,,,,,78.875
,,,,,1518,,,,,,,,,,,94.875
,,,,,1515,,,,,,,,,,,94.6875
,,,,,1562,,,,,,,,,,,97.625
,,,,,1743,,,,,,,,,,,108.9375
,,,,,1658,,,,,,,,,,,103.625
,,,,,1223,,,,,,,,,,,76.4375
,,,,,1344,,,,,,,,,,,84
,,,,,1623,,,,,,,,,,,101.4375
,,,,,1452,,,,,,,,,,,90.75
,,,,,930,,,,,,,,,,,58.125
,,,,,1372,,,,,,,,,,,85.75
,,,,,982,,,,,,,,,,,61.375
,,,,,1159,,,,,,,,,,,72.4375
,,,,,946,,,,,,,,,,,59.125
,,,,,825,,,,,,,,,,,51.5625
,,,,,1015,,,,,,,,,,,63.4375
,,,,,992,,,,,,,,,,,62
,,,,,1069,,,,,,,,,,,66.8125
,,,,,1046,,,,,,,,,,,65.375
,,,,,1716,,,,,,,,,,,107.25
,,,,,1596,,,,,,,,,,,99.75
,,,,,2176,,,,,,,,,,,136
,,,,,1680,,,,,,,,,,,105
,,,,,1695,,,,,,,,,,,105.9375
,,,,,1654,,,,,,,,,,,103.375
,,,,,1682,,,,,,,,,,,105.125
,,,,,1844,,,,,,,,,,,115.25
,,,,,1003,,,,,,,,,,,62.6875
,,,,,1414,,,,,,,,,,,88.375
,,,,,1312,,,,,,,,,,,82
,,,,,1880,,,,,,,,,,,117.5
,,,,,1468,,,,,,,,,,,91.75
,,,,,1156,,,,,,,,,,,72.25
,,,,,1994,,,,,,,,,,,124.625
,,,,,1584,,,,,,,,,,,99
,,,,,1742,,,,,,,,,,,108.875
,,,,,1844,,,,,,,,,,,115.25
,,,,,1873,,,,,,,,,,,117.0625
,,,,,2042,,,,,,,,,,,127.625
,,,,,2014,,,,,,,,,,,125.875
,,,,,1480,,,,,,,,,,,92.5
,,,,,1824,,,,,,,,,,,114
,,,,,1476,,,,,,,,,,,92.25
,,,,,1388,,,,,,,,,,,86.75
,,,,,2302,,,,,,,,,,,143.875
,,,,,1534,,,,,,,,,,,95.875
,,,,,1735,,,,,,,,,,,108.4375
,,,,,1790,,,,,,,,,,,111.875
,,,,,2048,,,,,,,,,,,128
,,,,,1417,,,,,,,,,,,88.5625
,,,,,1686,,,,,,,,,,,105.375
,,,,,1921,,,,,,,,,,,120.0625
,,,,,1799,,,,,,,,,,,112.4375
,,,,,1841,,,,,,,,,,,115.0625
,,,,,1852,,,,,,,,,,,115.75
,,,,,1668,,,,,,,,,,,104.25
,,,,,1774,,,,,,,,,,,110.875
,,,,,2365,,,,,,,,,,,147.8125
,,,,,1981,,,,,,,,,,,123.8125
,,,,,2063,,,,,,,,,,,128.9375
,,,,,1838,,,,,,,,,,,114.875
,,,,,1514,,,,,,,,,,,94.625
,,,,,2110,,,,,,,,,,,131.875
,,,,,2478,,,,,,,,,,,154.875
,,,,,2031,,,,,,,,,,,126.9375
,,,,,1563,,,,,,,,,,,97.6875
,,,,,1821,,,,,,,,,,,113.8125
,,,,,2271,,,,,,,,,,,141.9375
,,,,,2268,,,,,,,,,,,141.75
,,,,,1759,,,,,,,,,,,109.9375
,,,,,1819,,,,,,,,,,,113.6875
,,,,,2159,,,,,,,,,,,134.9375
,,,,,1857,,,,,,,,,,,116.0625
,,,,,2581,,,,,,,,,,,161.3125
,,,,,2136,,,,,,,,,,,133.5
,,,,,2064,,,,,,,,,,,129
,,,,,1944,,,,,,,,,,,121.5
,,,,,1920,,,,,,,,,,,120
,,,,,1984,,,,,,,,,,,124
,,,,,2355,,,,,,,,,,,147.1875
,,,,,1994,,,,,,,,,,,124.625
,,,,,2570,,,,,,,,,,,160.625
,,,,,1846,,,,,,,,,,,115.375
,,,,,2472,,,,,,,,,,,154.5
,,,,,1775,,,,,,,,,,,110.9375
,,,,,1683,,,,,,,,,,,105.1875
,,,,,1812,,,,,,,,,,,113.25
,,,,,2219,,,,,,,,,,,138.6875
,,,,,2609,,,,,,,,,,,163.0625
,,,,,2391,,,,,,,,,,,149.4375
,,,,,2864,,,,,,,,,,,179
,,,,,2085,,,,,,,,,,,130.3125
,,,,,1917,,,,,,,,,,,119.8125
,,,,,2559,,,,,,,,,,,159.9375
,,,,,2132,,,,,,,,,,,133.25
,,,,,2149,,,,,,,,,,,134.3125
,,,,,1950,,,,,,,,,,,121.875
,,,,,2344,,,,,,,,,,,146.5
,,,,,1956,,,,,,,,,,,122.25
,,,,,2207,,,,,,,,,,,137.9375
,,,,,2564,,,,,,,,,,,160.25
,,,,,1862,,,,,,,,,,,116.375
,,,,,2372,,,,,,,,,,,148.25
,,,,,1937,,,,,,,,,,,121.0625
,,,,,2095,,,,,,,,,,,130.9375
,,,,,2746,,,,,,,,,,,171.625
,,,,,2613,,,,,,,,,,,163.3125
,,,,,1959,,,,,,,,,,,122.4375
,,,,,2376,,,,,,,,,,,148.5
,,,,,2175,,,,,,,,,,,135.9375
,,,,,2318,,,,,,,,,,,144.875
,,,,,2073,,,,,,,,,,,129.5625
,,,,,2049,,,,,,,,,,,128.0625
,,,,,1288,,,,,,,,,,,80.5
,,,,,1567,,,,,,,,,,,97.9375
,,,,,1720,,,,,,,,,,,107.5
,,,,,1955,,,,,,,,,,,122.1875
,,,,,1921,,,,,,,,,,,120.0625
,,,,,2128,,,,,,,,,,,133
,,,,,1922,,,,,,,,,,,120.125
,,,,,2641,,,,,,,,,,,165.0625
,,,,,2145,,,,,,,,,,,134.0625
,,,,,1622,,,,,,,,,,,101.375
,,,,,1335,,,,,,,,,,,83.4375
,,,,,2553,,,,,,,,,,,159.5625
,,,,,2402,,,,,,,,,,,150.125
,,,,,2477,,,,,,,,,,,154.8125
,,,,,1979,,,,,,,,,,,123.6875
,,,,,2264,,,,,,,,,,,141.5
,,,,,2242,,,,,,,,,,,140.125
,,,,,2166,,,,,,,,,,,135.375
,,,,,2358,,,,,,,,,,,147.375
,,,,,2272,,,,,,,,,,,142
,,,,,2056,,,,,,,,,,,128.5
,,,,,1954,,,,,,,,,,,122.125
,,,,,2462,,,,,,,,,,,153.875
,,,,,1986,,,,,,,,,,,124.125
,,,,,1730,,,,,,,,,,,108.125
,,,,,1955,,,,,,,,,,,122.1875
,,,,,1329,,,,,,,,,,,83.0625
,,,,,1946,,,,,,,,,,,121.625
,,,,,2042,,,,,,,,,,,127.625
,,,,,1769,,,,,,,,,,,110.5625
,,,,,1753,,,,,,,,,,,109.5625
