Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Average
,,23,8,17,11,17,11,14,7,11,20,13,17,20,19,13
,,24,11,20,12,19,7,12,9,19,14,18,18,25,21,14.3125
,,20,12,19,13,19,5,19,9,19,24,9,17,20,18,13.9375
,,23,9,21,18,20,14,12,19,16,18,17,18,25,21,15.6875
,,21,10,19,16,20,12,8,7,11,22,18,16,25,20,14.0625
,,27,10,17,16,21,9,12,12,16,18,16,20,21,19,14.625
,,22,14,19,19,20,8,9,12,18,15,12,19,20,18,14.0625
,,17,15,23,20,21,9,10,16,12,14,15,20,18,23,14.5625
,,22,18,22,16,18,8,12,14,18,20,16,16,24,19,15.1875
,,19,9,23,16,17,12,7,11,13,24,17,19,19,18,14
,,23,11,21,19,15,12,9,13,15,18,9,17,18,19,13.6875
,,21,11,18,16,21,14,17,15,15,19,9,23,22,17,14.875
