Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Average
,,1137,1815,593,327,1921,1805,1848,599,958,32,320,3761,1653,1519,1143
,,2009,2305,1498,0,321,0,1094,543,243,1030,293,979,4105,0,901.25
,,1531,2358,1082,0,2118,541,678,887,0,646,215,1389,3051,1365,991.3125
,,742,527,2018,1000,1540,0,2273,508,0,555,316,4132,1323,832,985.375
,,1047,1888,1779,2133,980,1472,1724,479,1515,174,36,3387,873,1417,1181.5
,,2880,796,631,2101,1682,1051,1178,1266,1087,0,1202,2301,1868,443,1155.375
,,865,2249,1483,454,752,744,389,680,463,105,0,2538,452,935,756.8125
,,855,4029,1574,976,867,785,121,144,1660,0,103,2034,1289,0,902.3125
,,1447,2938,2843,2773,100,2239,1553,47,1917,0,0,5188,2574,0,1476.1875
,,1318,2688,207,647,1034,2051,0,958,519,1191,0,3054,1758,49,967.125
,,1313,3038,451,770,772,644,231,749,671,384,0,3308,1363,0,855.875
,,580,2564,1527,1008,946,959,680,1109,2219,611,0,2666,0,395,954
,,747,2631,90,899,973,1366,2424,0,220,1156,0,3551,1798,0,990.9375
,,855,1341,2099,475,385,2276,2343,0,843,843,314,1404,0,0,823.625
,,1404,2354,607,2192,1979,417,1739,306,1750,1921,474,2195,1959,0,1206.0625
,,1974,3083,587,3873,1558,2640,658,0,454,601,0,1113,2850,339,1233.125
,,1492,1038,1303,3776,0,1699,1547,248,0,856,809,1464,1117,540,993.0625
,,192,1948,2090,3635,192,1096,1282,0,1021,1279,559,1740,1864,471,1085.5625
,,487,2669,1294,3111,1386,1423,3758,571,2166,104,0,1409,3035,0,1338.3125
,,624,1626,1157,1499,118,771,3266,1122,795,1403,598,4244,3316,308,1302.9375
,,559,566,942,796,1245,1573,465,0,383,145,0,854,2426,625,661.1875
,,323,0,3262,989,399,3204,434,519,695,1424,603,1508,1209,417,936.625
,,915,1021,1759,0,827,1508,1802,0,1240,1024,0,1635,635,0,772.875
,,1172,0,915,1667,1778,415,2092,1022,1800,481,0,1367,1804,218,920.6875
,,1441,0,1077,1759,786,502,2773,904,847,1108,0,1072,1052,0,832.5625
,,765,846,675,0,599,1167,3300,987,2110,1911,661,1856,1631,832,1083.75
,,1900,1325,1777,1396,987,1836,2146,906,2739,2070,0,2616,458,945,1318.8125
,,835,173,637,1145,2508,3271,1989,765,2131,1120,243,576,1909,0,1081.375
,,2528,885,1054,1583,1012,1249,926,0,856,1973,534,1896,876,1496,1054.25
,,369,1114,1338,3601,917,3555,1529,483,939,245,1959,1166,1316,339,1179.375
,,154,599,2667,2867,1825,1222,1847,86,1966,1700,2082,526,534,659,1170.875
