Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
617,1337,899,933,851,927.4
891,1020,966,810,605,858.4
953,1338,890,812,1051,1008.8
852,1313,1288,825,553,966.2
816,790,879,693,668,769.2
445,1335,1229,1122,670,960.2
672,1000,1226,765,768,886.2
898,1320,1052,972,826,1013.6
725,1442,1127,649,890,966.6
363,1254,1403,837,811,933.6
576,1910,881,968,1199,1106.8
692,1745,1056,527,762,956.4
438,1751,1295,539,668,938.2
615,1610,1199,496,488,881.6
264,1705,1184,848,754,951
528,1591,878,968,539,900.8
431,1379,1055,887,888,928
815,1031,1318,540,732,887.2
615,1257,797,596,996,852.2
591,1278,1461,673,1014,1003.4
538,1140,929,607,631,769
577,1075,989,752,627,804
566,1182,1350,633,586,863.4
715,710,1400,660,1048,906.6
308,1482,1074,441,618,784.6
503,1079,1337,595,781,859
533,1219,971,715,717,831
655,708,977,521,737,719.6
797,915,1306,383,429,766
853,1074,794,820,666,841.4
621,1458,1059,578,411,825.4
737,1221,1457,522,488,885
739,1203,1158,740,423,852.6
857,1190,1836,730,580,1038.6
738,878,961,497,475,709.8
634,1210,769,568,794,795
968,882,1897,1073,1115,1187
593,1603,1189,850,706,988.2
756,1058,1599,993,901,1061.4
722,1066,1176,931,428,864.6
605,979,1167,970,723,888.8
689,979,1008,1409,546,926.2
1267,1060,920,1307,929,1096.6
818,1885,904,992,602,1040.2
1028,783,1096,1091,636,926.8
780,1835,1847,953,961,1275.2
1174,736,1009,1178,861,991.6
1076,1015,1440,1029,492,1010.4
806,1251,1317,1131,952,1091.4
948,1331,1456,1565,801,1220.2
793,1625,1121,1170,1035,1148.8
1054,1425,1062,1049,1073,1132.6
755,985,1388,1061,675,972.8
791,1384,1151,832,545,940.6
949,1088,962,1346,655,1000
898,1214,834,1244,456,929.2
786,1298,1454,854,556,989.6
926,800,1115,1014,677,906.4
687,1306,1253,1250,815,1062.2
909,1167,1158,1082,576,978.4
740,1241,1212,1072,817,1016.4
878,1074,1506,804,422,936.8
749,875,1525,1044,887,1016
1368,878,1662,799,649,1071.2
695,703,1028,1040,362,765.6
653,1372,1423,1163,643,1050.8
1133,986,1294,1116,539,1013.6
835,1386,1178,1462,769,1126
1256,1180,1194,1186,864,1136
678,608,1221,1305,480,858.4
1559,1027,1266,1142,236,1046
1165,913,1301,1018,546,988.6
1448,1077,942,1316,790,1114.6
