Trial 1,Trial 2,Trial 3,Average
665,1245,495,801.6666666666666
267,955,744,655.3333333333334
603,684,695,660.6666666666666
321,1560,560,813.6666666666666
486,803,604,631
642,1210,795,882.3333333333334
893,855,1077,941.6666666666666
671,907,945,841
485,739,763,662.3333333333334
568,863,597,676
558,665,561,594.6666666666666
580,920,508,669.3333333333334
279,1322,1020,873.6666666666666
810,984,667,820.3333333333334
775,1690,581,1015.3333333333334
286,1204,578,689.3333333333334
441,1221,396,686
721,1763,656,1046.6666666666667
332,1181,739,750.6666666666666
538,1043,701,760.6666666666666
406,1024,690,706.6666666666666
249,970,744,654.3333333333334
609,1206,614,809.6666666666666
358,1324,606,762.6666666666666
415,1595,659,889.6666666666666
459,1414,737,870
452,1113,533,699.3333333333334
315,1014,648,659
315,1381,804,833.3333333333334
321,794,440,518.3333333333334
305,1087,544,645.3333333333334
320,1114,560,664.6666666666666
389,1331,931,883.6666666666666
348,1084,663,698.3333333333334
239,1001,431,557
219,1225,685,709.6666666666666
268,1517,817,867.3333333333334
732,1445,704,960.3333333333334
648,1605,666,973
345,1001,340,562
394,1239,796,809.6666666666666
275,1021,735,677
532,1191,368,697
442,1696,644,927.3333333333334
496,1000,694,730
345,1285,587,739
521,1045,1087,884.3333333333334
368,1097,972,812.3333333333334
458,1180,678,772
167,882,830,626.3333333333334
145,595,1024,588
329,1090,573,664
318,1009,657,661.3333333333334
378,977,751,702
497,1113,699,769.6666666666666
546,1042,720,769.3333333333334
481,1219,872,857.3333333333334
186,986,507,559.6666666666666
415,1013,963,797
501,1334,465,766.6666666666666
572,1611,680,954.3333333333334
644,1433,800,959
693,1047,1035,925
730,1010,696,812
643,1466,591,900
432,1224,588,748
109,739,765,537.6666666666666
382,1288,661,777
563,1189,627,793
434,1008,711,717.6666666666666
290,1582,685,852.3333333333334
676,1096,707,826.3333333333334
640,1796,949,1128.3333333333333
519,1065,403,662.3333333333334
267,1283,696,748.6666666666666
551,953,973,825.6666666666666
457,1115,592,721.3333333333334
296,1543,576,805
297,1389,750,812
388,1487,323,732.6666666666666
476,1391,604,823.6666666666666
366,1114,768,749.3333333333334
446,1459,922,942.3333333333334
410,1294,748,817.3333333333334
432,1495,895,940.6666666666666
312,1391,460,721
435,1299,980,904.6666666666666
228,1845,741,938
508,1949,512,989.6666666666666
360,1393,909,887.3333333333334
459,1352,1041,950.6666666666666
599,1296,879,924.6666666666666
337,1509,1146,997.3333333333334
444,926,793,721
376,1472,711,853
329,1321,897,849
457,1623,595,891.6666666666666
403,1352,948,901
401,1433,571,801.6666666666666
347,1064,656,689
274,1014,1073,787
185,1167,846,732.6666666666666
290,1421,1115,942
124,1636,1131,963.6666666666666
383,1858,1042,1094.3333333333333
203,1648,1269,1040
226,1388,1492,1035.3333333333333
78,1504,1715,1099
406,2259,1141,1268.6666666666667
116,1399,1529,1014.6666666666666
119,1119,1313,850.3333333333334
73,1247,1252,857.3333333333334
207,1204,1375,928.6666666666666
70,1075,1307,817.3333333333334
310,1394,964,889.3333333333334
153,1337,1155,881.6666666666666
293,1406,1172,957
325,1750,926,1000.3333333333334
368,1149,1040,852.3333333333334
247,1231,1322,933.3333333333334
379,1212,1171,920.6666666666666
361,1445,1149,985
155,1069,874,699.3333333333334
235,1226,845,768.6666666666666
212,1260,1275,915.6666666666666
292,1332,822,815.3333333333334
511,1285,1147,981
339,1601,1040,993.3333333333334
239,1232,994,821.6666666666666
415,1357,860,877.3333333333334
280,1493,695,822.6666666666666
182,1305,752,746.3333333333334
392,1671,1324,1129
309,1206,1250,921.6666666666666
344,1205,1171,906.6666666666666
229,1452,965,882
242,898,1614,918
199,1403,1104,902
223,1176,1300,899.6666666666666
288,1344,1169,933.6666666666666
382,1617,1104,1034.3333333333333
385,1374,818,859
