Trial 1,Trial 2,Trial 3,Average
9,21,11,13.666666666666666
11,11,7,9.666666666666666
14,27,7,16
7,17,6,10
11,16,4,10.333333333333334
12,23,12,15.666666666666666
11,18,6,11.666666666666666
11,23,13,15.666666666666666
12,15,17,14.666666666666666
4,22,13,13
10,29,15,18
11,40,18,23
11,24,17,17.333333333333332
11,27,9,15.666666666666666
2,18,8,9.333333333333334
10,19,5,11.333333333333334
10,19,6,11.666666666666666
9,23,4,12
3,19,3,8.333333333333334
7,16,6,9.666666666666666
6,28,3,12.333333333333334
9,19,3,10.333333333333334
5,20,4,9.666666666666666
19,15,13,15.666666666666666
10,17,9,12
9,16,7,10.666666666666666
9,17,7,11
11,17,6,11.333333333333334
14,18,4,12
4,24,9,12.333333333333334
18,27,4,16.333333333333332
14,36,3,17.666666666666668
5,29,2,12
10,26,6,14
11,37,2,16.666666666666668
5,25,5,11.666666666666666
14,17,3,11.333333333333334
9,18,5,10.666666666666666
5,21,4,10
13,24,2,13
5,22,4,10.333333333333334
6,37,4,15.666666666666666
6,30,4,13.333333333333334
7,26,1,11.333333333333334
8,25,0,11
6,25,3,11.333333333333334
6,14,0,6.666666666666667
10,28,1,13
7,26,2,11.666666666666666
7,26,7,13.333333333333334
5,22,2,9.666666666666666
3,21,2,8.666666666666666
6,35,4,15
9,30,3,14
14,32,0,15.333333333333334
13,43,0,18.666666666666668
9,18,3,10
10,24,4,12.666666666666666
7,23,5,11.666666666666666
9,22,1,10.666666666666666
5,38,1,14.666666666666666
7,20,3,10
3,26,4,11
10,21,4,11.666666666666666
6,25,7,12.666666666666666
5,22,4,10.333333333333334
3,17,5,8.333333333333334
2,12,9,7.666666666666667
5,20,5,10
4,17,3,8
7,16,6,9.666666666666666
9,23,6,12.666666666666666
10,23,3,12
8,22,7,12.333333333333334
3,16,8,9
9,22,9,13.333333333333334
8,30,1,13
13,37,2,17.333333333333332
10,28,2,13.333333333333334
10,28,5,14.333333333333334
7,20,0,9
6,30,1,12.333333333333334
6,25,3,11.333333333333334
2,22,2,8.666666666666666
6,29,1,12
9,22,4,11.666666666666666
4,26,0,10
5,26,1,10.666666666666666
10,24,3,12.333333333333334
8,34,3,15
5,25,2,10.666666666666666
5,31,2,12.666666666666666
7,25,4,12
2,17,1,6.666666666666667
5,35,3,14.333333333333334
3,27,2,10.666666666666666
5,28,1,11.333333333333334
6,32,4,14
5,19,3,9
8,19,9,12
6,29,2,12.333333333333334
3,29,3,11.666666666666666
7,27,1,11.666666666666666
5,24,6,11.666666666666666
4,38,5,15.666666666666666
5,43,3,17
1,29,7,12.333333333333334
2,29,5,12
10,26,3,13
3,34,16,17.666666666666668
6,21,6,11
5,34,4,14.333333333333334
4,31,11,15.333333333333334
6,34,8,16
3,30,10,14.333333333333334
7,28,8,14.333333333333334
1,30,10,13.666666666666666
3,36,10,16.333333333333332
5,22,9,12
3,38,15,18.666666666666668
2,38,15,18.333333333333332
5,40,15,20
4,41,21,22
2,31,26,19.666666666666668
1,31,25,19
3,43,13,19.666666666666668
2,33,19,18
2,30,25,19
1,28,19,16
2,25,16,14.333333333333334
1,23,19,14.333333333333334
2,35,16,17.666666666666668
1,26,13,13.333333333333334
3,30,16,16.333333333333332
4,39,14,19
2,26,10,12.666666666666666
2,25,21,16
2,25,17,14.666666666666666
4,34,22,20
0,23,11,11.333333333333334
0,25,12,12.333333333333334
0,22,20,14
0,31,17,16
3,29,15,15.666666666666666
2,33,16,17
0,30,16,15.333333333333334
3,33,15,17
1,36,15,17.333333333333332
0,27,16,14.333333333333334
1,41,19,20.333333333333332
1,26,20,15.666666666666666
2,33,17,17.333333333333332
1,30,14,15
0,28,25,17.666666666666668
0,30,19,16.333333333333332
0,28,18,15.333333333333334
1,38,20,19.666666666666668
1,41,20,20.666666666666668
1,25,11,12.333333333333334
