Trial 1,Trial 2,Trial 3,Average
484,938,3597,1673
0,2688,2092,1593.3333333333333
339,1368,4618,2108.3333333333335
732,1351,2223,1435.3333333333333
0,913,4493,1802
665,614,2280,1186.3333333333333
0,1487,2793,1426.6666666666667
1852,3106,7077,4011.6666666666665
1476,414,3783,1891
2333,1934,1944,2070.3333333333335
0,2004,1326,1110
0,1705,2004,1236.3333333333333
1130,1105,1210,1148.3333333333333
679,273,2461,1137.6666666666667
2079,932,0,1003.6666666666666
1902,0,154,685.3333333333334
2586,756,420,1254
65,668,1532,755
843,545,1096,828
1100,828,3864,1930.6666666666667
1303,0,1478,927
3919,998,3034,2650.3333333333335
1804,530,462,932
1220,840,998,1019.3333333333334
699,263,1466,809.3333333333334
2897,669,1495,1687
1628,1539,4119,2428.6666666666665
2512,417,2513,1814
2471,591,168,1076.6666666666667
2051,0,671,907.3333333333334
1474,1102,641,1072.3333333333333
