Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
,,,,,,,,,,408,371,717,188,612,456,147,528,359,242,201.4
,,,,,,,,,,305,320,460,509,315,608,148,631,283,165,187.2
,,,,,,,,,,865,361,683,114,509,337,49,422,142,386,193.4
,,,,,,,,,,384,334,552,306,531,324,511,397,240,363,197.1
,,,,,,,,,,605,557,922,458,499,539,236,605,266,397,254.2
,,,,,,,,,,1038,322,636,255,510,405,337,518,223,166,220.5
,,,,,,,,,,539,210,435,350,417,296,208,840,577,397,213.45
,,,,,,,,,,328,472,934,278,671,579,476,1021,204,279,262.1
,,,,,,,,,,416,332,1180,484,580,324,274,1058,422,111,259.05
,,,,,,,,,,406,654,728,495,208,577,206,782,220,464,237
,,,,,,,,,,940,515,710,229,376,429,168,635,357,232,229.55
,,,,,,,,,,620,238,1274,259,476,426,264,1072,192,157,248.9
,,,,,,,,,,712,464,674,385,486,531,213,710,433,397,250.25
,,,,,,,,,,671,599,413,354,279,400,481,473,490,416,228.8
,,,,,,,,,,580,462,733,355,263,566,132,966,649,518,261.2
,,,,,,,,,,553,588,653,257,457,739,262,920,319,615,268.15
,,,,,,,,,,670,441,986,525,265,191,294,679,550,336,246.85
,,,,,,,,,,574,749,655,330,165,475,147,869,428,526,245.9
,,,,,,,,,,752,891,903,337,358,238,365,851,471,492,282.9
,,,,,,,,,,796,600,1102,299,91,546,326,1351,801,414,316.3
,,,,,,,,,,870,525,743,330,168,660,241,748,536,520,267.05
,,,,,,,,,,549,709,933,544,247,601,288,956,527,545,294.95
