Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
,,,,,,,,,,579,1520,1670,1238,2089,1504,1634,988,609,570,620.05
,,,,,,,,,,442,1800,475,482,1178,339,1690,712,416,276,390.5
,,,,,,,,,,0,1572,450,479,1295,1557,1122,558,2375,211,480.95
,,,,,,,,,,0,2082,0,242,806,955,1804,1431,1502,899,486.05
,,,,,,,,,,1804,5578,599,599,1290,159,3402,715,559,357,753.1
,,,,,,,,,,781,1705,1148,373,1864,709,3042,1064,116,1035,591.85
,,,,,,,,,,0,1399,15,0,1587,595,561,0,496,0,232.65
,,,,,,,,,,0,2138,2151,618,0,701,2618,1085,2239,457,600.35
,,,,,,,,,,0,1054,1481,0,383,674,1282,676,1240,668,372.9
,,,,,,,,,,338,2662,1671,666,1104,2124,952,576,5523,590,810.3
,,,,,,,,,,0,4267,793,0,667,584,1472,1146,2067,2766,688.1
,,,,,,,,,,0,1985,2072,308,660,291,1529,1507,1572,566,524.5
,,,,,,,,,,0,2267,457,0,604,1384,1732,1282,1196,621,477.15
,,,,,,,,,,0,4874,1219,0,2240,939,644,2828,692,0,671.8
,,,,,,,,,,0,2414,321,290,2774,2271,2934,1585,3246,451,814.3
,,,,,,,,,,989,1946,390,132,1397,1216,39,1025,2389,1375,544.9
,,,,,,,,,,915,2265,773,398,638,1262,494,1825,303,991,493.2
,,,,,,,,,,750,1313,1603,134,2160,1661,816,2135,909,1203,634.2
,,,,,,,,,,0,1459,768,269,2441,1225,816,3228,2395,1244,692.25
,,,,,,,,,,207,2208,3391,250,5767,2179,924,1153,1459,633,908.55
,,,,,,,,,,0,495,1238,0,1508,749,670,1502,3532,0,484.7
,,,,,,,,,,0,598,1566,0,1429,2455,9,2488,2300,0,542.25
,,,,,,,,,,0,2382,308,2166,232,573,5752,2667,1856,2081,900.85
,,,,,,,,,,0,575,524,39,998,2320,2049,2380,2093,507,574.25
,,,,,,,,,,0,1936,916,66,968,2699,3211,1398,874,0,603.4
,,,,,,,,,,445,1918,0,848,2449,1733,6575,2257,0,677,845.1
,,,,,,,,,,542,1332,1007,1072,304,2778,1176,308,2141,909,578.45
,,,,,,,,,,0,422,993,607,597,2107,3011,3007,1070,1153,648.35
,,,,,,,,,,1490,1315,604,421,0,3353,641,985,1553,659,551.05
,,,,,,,,,,0,0,1208,1574,1383,1616,685,984,837,485,438.6
,,,,,,,,,,0,799,637,657,1890,1900,1742,795,366,1604,519.5
,,,,,,,,,,0,0,258,818,1299,1317,2681,3352,330,568,531.15
,,,,,,,,,,0,0,2146,344,816,1266,2511,1716,573,740,505.6
,,,,,,,,,,728,0,2046,338,673,2029,1959,84,253,220,416.5
,,,,,,,,,,485,350,588,2686,810,2661,603,1164,0,1268,530.75
,,,,,,,,,,196,0,2049,2427,2681,1549,1790,508,578,1875,682.65
,,,,,,,,,,0,335,2196,641,892,3081,1901,2451,214,381,604.6
,,,,,,,,,,2,455,854,1361,2104,1466,69,1106,60,680,407.85
